institution,label,city,institution_state,inst_level,statefips
00108308,University of Arizona (The) - UA Douglas,Douglas,AZ,I,04
00108309,University of Arizona (The) - UA Santa Cruz,Nogales,AZ,I,04
00108310,University of Arizona (The) - UA Pima Desert Vista,Tucson,AZ,I,04
00108311,University of Arizona (The) - UA Pima Downtown,Tucson,AZ,I,04
00108312,University of Arizona (The) - UA Pima West,Tucson,AZ,I,04
00108313,University of Arizona (The) - UA Downtown,Tucson,AZ,I,04
00108314,University of Arizona (The) - Chandler Downtown,Chandler,AZ,I,04
00108315,University of Arizona (The) - Paradise Valley Community College - Phx,Phoenix,AZ,I,04
00108316,University of Arizona (The) - Arizona Western College,Yuma,AZ,I,04
00108317,University of Arizona (The) - Central Arizona College,Coolidge,AZ,I,04
00108318,University of Arizona (The) - Mesa Community College,Mesa,AZ,I,04
00108319,University of Arizona (The) - Flowing Wells,Tucson,AZ,I,04
00108320,University of Arizona (The) - San Luis Technology Institute,San Luis,AZ,I,04
00108321,"University of Arizona (The) - Sunnyside, Los Ninos Elementary School",Tucson,AZ,I,04
00108322,University of Arizona (The) - Oro Valley-Hanley,Oro Valley,AZ,I,04
00108323,University of Arizona (The) - Oro Valley-Stallard,Oro Valley,AZ,I,04
00108400,Yuma County Junior College,Yuma,AZ,I,04
00108500,University of Arkansas at Monticello,Monticello,AR,I,05
00108501,University of Arkansas at Monticello - College of Technology McGehee,McGehee,AR,I,05
00108502,University of Arkansas at Monticello - College of Technology Crossett,Crossett,AR,I,05
